contrast,physical.barrier,estimate,SE,df,t.ratio,p.value,lower.CL,upper.CL,Year,Effect
goro - trcy,0,0.555867784,0.283813615,177.3038941,1.958566311,0.12564225,-0.114943763,1.226679332,2021,physical.barrier
goro - tror,0,1.157334304,0.317847508,175.6633925,3.641162109,0.001035602,0.406022101,1.908646507,2021,physical.barrier
trcy - tror,0,0.60146652,0.332223451,175.7474724,1.810427643,0.169131034,-0.183823616,1.386756655,2021,physical.barrier
goro - trcy,1,1.272074549,0.242696129,175.4986177,5.241429088,1.36E-06,0.698396855,1.845752244,2021,physical.barrier
goro - tror,1,1.329486984,0.254967647,176.2877505,5.214336004,1.53E-06,0.726825317,1.932148651,2021,physical.barrier
trcy - tror,1,0.057412435,0.253218802,175.1950565,0.226730536,0.972063328,-0.541147302,0.655972171,2021,physical.barrier
goro - trcy,0,2.115660769,0.287261065,144,7.364940912,3.77E-11,1.435369815,2.795951722,2022,physical.barrier
goro - tror,0,1.80883096,0.355364754,144,5.090068549,3.28E-06,0.967257015,2.650404905,2022,physical.barrier
trcy - tror,0,-0.306829809,0.386203401,144,-0.794477231,0.707021037,-1.221435762,0.607776145,2022,physical.barrier
goro - trcy,1,1.791178944,0.246619826,144,7.262915442,6.56E-11,1.207134473,2.375223415,2022,physical.barrier
goro - tror,1,2.420541122,0.25709447,144,9.414987122,0,1.811690626,3.029391619,2022,physical.barrier
trcy - tror,1,0.629362179,0.251306892,144,2.504357021,0.035495193,0.03421781,1.224506547,2022,physical.barrier
