,plot,init,depth,NH4N,NO3N,N,P,K,C,conductivity,pH,prewash.exch.ca,prewash.exch.k,prewash.exch.mg,prewash.exch.na,CEC
1,1_16,log,0-10,3,3,6,4,199,1.56,0.032,5.2,2.81,0.31,0.75,0.05,3.92
2,1_20,open,0-10,2,0.5,2.5,4,248,0.85,0.03,4.8,1.18,0.39,0.46,0.05,2.08
3,2_16,log,0-10,4,0.5,4.5,4,175,1.63,0.048,4.5,1.45,0.28,0.99,0.05,2.77
4,2_32,open,0-10,3,1,4,3,149,1.17,0.03,4.9,2.64,0.26,0.8,0.05,3.75
5,3_15,log,0-10,3,3,6,4,146,1.11,0.03,5.3,2.01,0.21,0.52,0.05,2.79
6,3_26,open,0-10,4,0.5,4.5,2,85,0.79,0.017,4.8,0.59,0.14,0.26,0.05,1.04
7,4_14,log,0-10,2,0.5,2.5,4,164,1.31,0.018,4.9,2.31,0.23,0.38,0.05,2.97
8,4_28,open,0-10,2,1,3,4,193,1.11,0.027,5.6,2.91,0.35,0.96,0.05,4.27
9,5_1,log,0-10,4,0.5,4.5,3,159,1.02,0.021,5.2,2.35,0.27,0.73,0.05,3.4
10,5_22,open,0-10,3,0.5,3.5,7,194,0.96,0.019,5.5,2.19,0.3,0.96,0.05,3.5
11,6_12,log,0-10,2,4,6,4,172,1.55,0.027,4.9,2.82,0.27,0.48,0.05,3.62
12,6_21,open,0-10,3,0.5,3.5,4,141,0.6,0.031,4.8,0.83,0.19,0.31,0.05,1.38
13,7_15,log,0-10,4,2,6,3,91,0.89,0.023,5,1.55,0.15,0.17,0.05,1.92
14,7_28,open,0-10,3,0.5,3.5,3,111,0.53,0.017,4.5,0.36,0.19,0.12,0.05,0.72
