"","block","transect","initial","current_plot_type","physical_barrier","name","value","presence","posicounts"
"1","1","1.01","log","gap","0","ntror",0,0,NA
"2","1","1.01","log","gap","0","ngoro",3,1,3
"3","1","1.01","log","gap","0","ntrcy",0,0,NA
"4","1","1.02","log","insitu_log","1","ntror",0,0,NA
"5","1","1.02","log","insitu_log","1","ngoro",0,0,NA
"6","1","1.02","log","insitu_log","1","ntrcy",0,0,NA
"7","1","1.03","log","insitu_pvc","1","ntror",3,1,3
"8","1","1.03","log","insitu_pvc","1","ngoro",1,1,1
"9","1","1.03","log","insitu_pvc","1","ntrcy",3,1,3
"10","1","1.14","log","insitu_log","1","ntror",0,0,NA
"11","1","1.14","log","insitu_log","1","ngoro",0,0,NA
"12","1","1.14","log","insitu_log","1","ntrcy",0,0,NA
"13","1","1.17","open","open","0","ntror",0,0,NA
"14","1","1.17","open","open","0","ngoro",0,0,NA
"15","1","1.17","open","open","0","ntrcy",0,0,NA
"16","1","1.19","open","open","0","ntror",0,0,NA
"17","1","1.19","open","open","0","ngoro",2,1,2
"18","1","1.19","open","open","0","ntrcy",0,0,NA
"19","1","1.21","open","open_with_pvc","1","ntror",0,0,NA
"20","1","1.21","open","open_with_pvc","1","ngoro",1,1,1
"21","1","1.21","open","open_with_pvc","1","ntrcy",5,1,5
"22","1","1.22","open","open_with_log","1","ntror",3,1,3
"23","1","1.22","open","open_with_log","1","ngoro",0,0,NA
"24","1","1.22","open","open_with_log","1","ntrcy",4,1,4
"25","1","1.23","open","open","0","ntror",0,0,NA
"26","1","1.23","open","open","0","ngoro",2,1,2
"27","1","1.23","open","open","0","ntrcy",2,1,2
"28","1","1.24","open","open_with_pvc","1","ntror",7,1,7
"29","1","1.24","open","open_with_pvc","1","ngoro",0,0,NA
"30","1","1.24","open","open_with_pvc","1","ntrcy",0,0,NA
"31","1","1.28","open","open_with_log","1","ntror",0,0,NA
"32","1","1.28","open","open_with_log","1","ngoro",0,0,NA
"33","1","1.28","open","open_with_log","1","ntrcy",0,0,NA
"34","1","1.31","open","open","0","ntror",0,0,NA
"35","1","1.31","open","open","0","ngoro",0,0,NA
"36","1","1.31","open","open","0","ntrcy",0,0,NA
"37","1","1.4","log","gap","0","ntror",0,0,NA
"38","1","1.4","log","gap","0","ngoro",0,0,NA
"39","1","1.4","log","gap","0","ntrcy",3,1,3
"40","1","1.6","log","gap","0","ntror",0,0,NA
"41","1","1.6","log","gap","0","ngoro",2,1,2
"42","1","1.6","log","gap","0","ntrcy",0,0,NA
"43","1","1.8","log","gap","0","ntror",1,1,1
"44","1","1.8","log","gap","0","ngoro",0,0,NA
"45","1","1.8","log","gap","0","ntrcy",0,0,NA
"46","1","1.ten","log","insitu_pvc","1","ntror",5,1,5
"47","1","1.ten","log","insitu_pvc","1","ngoro",3,1,3
"48","1","1.ten","log","insitu_pvc","1","ntrcy",4,1,4
"49","2","2.01","log","gap","0","ntror",0,0,NA
"50","2","2.01","log","gap","0","ngoro",1,1,1
"51","2","2.01","log","gap","0","ntrcy",15,1,15
"52","2","2.02","log","insitu_pvc","1","ntror",0,0,NA
"53","2","2.02","log","insitu_pvc","1","ngoro",0,0,NA
"54","2","2.02","log","insitu_pvc","1","ntrcy",9,1,9
"55","2","2.12","log","gap","0","ntror",0,0,NA
"56","2","2.12","log","gap","0","ngoro",0,0,NA
"57","2","2.12","log","gap","0","ntrcy",0,0,NA
"58","2","2.15","log","insitu_log","1","ntror",0,0,NA
