block,transect,initial,current_plot_type,dispersal_treatment,seeding_trt,ngoro,wt_goro,wt_percapita_goro,wt_max15_goro,ntrcy,wt_trcy,wt_percapita_trcy,wt_max15_trcy,ntror,wt_tror,wt_percapita_tror,wt_max15_tror,tree fallen,tree cleared,notes,physical_barrier
1,1.01,log,gap,after,1,3,0.12,0.04,0.12,0,NA,NA,NA,0,NA,NA,NA,yes,no,,0
1,1.02,log,insitu_log,before,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,yes,yes,,1
1,1.03,log,insitu_pvc,before,1,1,0.07,0.07,0.07,3,0.07,0.023333333,0.07,3,0.08,0.026666667,0.08,,,,1
1,1.14,log,insitu_log,after,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,yes,no,,1
1,1.17,open,open,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,,0
1,1.19,open,open,NA,1,2,0.41,0.205,0.41,0,NA,NA,NA,0,NA,NA,NA,,,,0
1,1.21,open,open_with_pvc,before,1,1,0.03,0.03,0.03,5,0.34,0.068,0.34,0,NA,NA,NA,,,,1
1,1.22,open,open_with_log,before,1,0,NA,NA,NA,4,0.07,0.0175,0.07,3,0.04,0.013333333,0.04,,,,1
1,1.23,open,open,NA,1,2,0.49,0.245,0.49,2,0.13,0.065,0.13,0,NA,NA,NA,,,,0
1,1.24,open,open_with_pvc,after,1,0,NA,NA,NA,0,NA,NA,NA,7,0.08,0.011428571,0.08,,,,1
1,1.28,open,open_with_log,after,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,,1
1,1.31,open,open,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,,0
1,1.4,log,gap,before,1,0,NA,NA,NA,3,0.13,0.043333333,0.13,0,NA,NA,NA,,,,0
1,1.6,log,gap,before,1,2,0.03,0.015,0.03,0,NA,NA,NA,0,NA,NA,NA,,,,0
1,1.8,log,gap,after,1,0,NA,NA,NA,0,NA,NA,NA,1,0.06,0.06,0.06,,,,0
1,1.ten,log,insitu_pvc,after,1,3,0.48,0.16,0.48,4,0.27,0.0675,0.27,5,0.4,0.08,0.4,,,,1
2,2.01,log,gap,after,1,1,0.19,0.19,0.19,16,0.25,0.015625,0.234375,0,NA,NA,NA,,,,0
2,2.02,log,insitu_pvc,before,1,0,NA,NA,NA,9,0.62,0.068888889,0.62,0,NA,NA,NA,,,,1
2,2.12,log,gap,before,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,yes,no,,0
2,2.15,log,insitu_log,after,1,0,NA,NA,NA,2,0.19,0.095,0.19,0,NA,NA,NA,,,,1
2,2.17,open,open_with_log,after,1,2,2.68,1.34,2.68,0,NA,NA,NA,4,0.15,0.0375,0.15,,,,1
2,2.19,open,open_with_pvc,before,1,3,0.64,0.213333333,0.64,3,0.03,0.01,0.03,2,0.019,0.0095,0.019,,,,1
2,2.21,open,open_with_pvc,after,1,3,0.21,0.07,0.21,1,0.02,0.02,0.02,1,0.009,0.009,0.009,,,,1
2,2.25,open,open,NA,1,1,0.013,0.013,0.013,5,0.03,0.006,0.03,2,0.0087,0.00435,0.0087,,,,0
2,2.26,open,open_with_log,before,1,0,NA,NA,NA,0,NA,NA,NA,1,0.03,0.03,0.03,yes,yes,,1
2,2.27,open,open,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,pins missing so just did 20cm in the middle of 2 pintags,0
2,2.31,open,open,NA,1,0,NA,NA,NA,5,1.23,0.246,1.23,0,NA,NA,NA,yes,yes,,0
2,2.4,log,gap,after,1,1,0.02,0.02,0.02,0,NA,NA,NA,8,0.17,0.02125,0.17,,,,0
2,2.6,log,insitu_pvc,after,1,0,NA,NA,NA,6,0.19,0.031666667,0.19,5,0.43,0.086,0.43,,,,1
2,2.7,log,insitu_log,before,1,1,0.4,0.4,0.4,18,0.28,0.015555556,0.233333333,2,0.07,0.035,0.07,,,,1
2,2.ten,log,gap,before,1,0,NA,NA,NA,0,NA,NA,NA,1,0.11,0.11,0.11,yes,no,,0
2,2.twenty,open,open,NA,1,0,NA,NA,NA,5,0.03,0.006,0.03,0,NA,NA,NA,,,,0
3,3.01,log,gap,before,1,4,0.22,0.055,0.22,2,0.12,0.06,0.12,1,0.07,0.07,0.07,,,,0
3,3.02,log,gap,after,1,2,0.02,0.01,0.02,0,NA,NA,NA,0,NA,NA,NA,,,approximately 2 meters west of 3.32,0
3,3.12,log,insitu_pvc,after,1,3,0.17,0.056666667,0.17,1,0.012,0.012,0.012,2,0.01,0.005,0.01,,,goro covered in cuscuta,1
3,3.17,open,open_with_pvc,before,1,0,NA,NA,NA,1,0.0062,0.0062,0.0062,0,NA,NA,NA,yes,yes,,1
3,3.18,open,open,NA,1,3,0.37,0.123333333,0.37,1,0.06,0.06,0.06,1,0.013,0.013,0.013,,,,0
3,3.22,open,open,NA,1,1,0.07,0.07,0.07,1,0.02,0.02,0.02,0,NA,NA,NA,,,,0
3,3.23,open,open_with_log,after,1,2,0.03,0.015,0.03,11,0.51,0.046363636,0.51,0,NA,NA,NA,,,,1
3,3.27,open,open_with_pvc,after,1,1,0.02,0.02,0.02,2,0.06,0.03,0.06,1,0.04,0.04,0.04,,,,1
3,3.32,open,open_with_log,before,1,2,0.09,0.045,0.09,1,0.005,0.005,0.005,0,NA,NA,NA,,,,1
3,3.4,log,insitu_log,before,1,1,0.02,0.02,0.02,2,0.05,0.025,0.05,4,0.07,0.0175,0.07,,,,1
3,3.5,log,gap,before,1,0,NA,NA,NA,3,0.09,0.03,0.09,4,0.08,0.02,0.08,,,,0
3,3.6,log,gap,after,1,3,0.34,0.113333333,0.34,3,0.06,0.02,0.06,0,NA,NA,NA,,,,0
3,3.8,log,insitu_pvc,before,1,4,0.23,0.0575,0.23,9,0.19,0.021111111,0.19,5,0.18,0.036,0.18,,,,1
3,3.9,log,insitu_log,after,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,yes,yes,,1
3,3.thirty,open,open,NA,1,4,0.26,0.065,0.26,0,NA,NA,NA,6,0.05,0.008333333,0.05,,,,0
3,3.twenty,open,open,NA,1,1,0.27,0.27,0.27,0,NA,NA,NA,0,NA,NA,NA,,,,0
4,4.01,log,insitu_log,before,1,0,NA,NA,NA,5,0.16,0.032,0.16,1,0.03,0.03,0.03,,,,1
4,4.02,log,insitu_pvc,before,1,2,1.12,0.56,1.12,1,0.12,0.12,0.12,1,0.09,0.09,0.09,,,,1
4,4.12,log,insitu_pvc,after,1,0,NA,NA,NA,0,NA,NA,NA,1,0.05,0.05,0.05,,,tree fallen right next to but not over transect/plot,1
4,4.14,log,insitu_log,after,1,1,0.79,0.79,0.79,3,0.18,0.06,0.18,1,0.015,0.015,0.015,,,,1
4,4.17,open,open_with_log,before,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,,1
4,4.19,open,open,NA,1,0,NA,NA,NA,1,0.014,0.014,0.014,0,NA,NA,NA,,,,0
4,4.21,open,open_with_pvc,NA,1,1,1.93,1.93,1.93,1,0.0088,0.0088,0.0088,0,NA,NA,NA,,,,1
4,4.22,open,open_with_pvc,before,1,3,0.26,0.086666667,0.26,2,0.05,0.025,0.05,0,NA,NA,NA,yes,yes,,1
4,4.24,open,open_with_log,after,1,2,0.71,0.355,0.71,3,0.07,0.023333333,0.07,1,0.03,0.03,0.03,yes,yes,,1
4,4.25,open,open_with_pvc,after,1,3,0.28,0.093333333,0.28,0,NA,NA,NA,0,NA,NA,NA,,,,1
4,4.27,open,open,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,tree fallen right next to but not over transect/plot,0
4,4.29,open,open,NA,1,3,0.21,0.07,0.21,0,NA,NA,NA,0,NA,NA,NA,,,,0
4,4.4,log,gap,before,1,0,NA,NA,NA,14,0.29,0.020714286,0.29,1,0.0105,0.0105,0.0105,,,,0
4,4.5,log,gap,before,1,0,NA,NA,NA,1,0.09,0.09,0.09,3,0.04,0.013333333,0.04,,,,0
