block,transect,initial,current_plot_type,dispersal_treatment,seeding_trt,ntrcy_germ,ngoro_germ,ntror_germ,ntrcy_plants,ngoro_plants,ntror_plants,ntrcy_biomass,ngoro_biomass,ntror_biomass,ntrcy_seeds,ngoro_seeds,ntror_seeds,physical_barrier,wt_percapita_trcy,wt_max15_trcy,wt_percapita_goro,wt_max15_goro,wt_percapita_tror,wt_max15_tror,ntrcy_tot,ngoro_tot,ntror_tot,notes,to-do,tree fallen,tree cleared
1,1.01,log,gap,after,1,1,1,3,0,1,2,NA,0.3116,0.0309,NA,29,9,0,NA,NA,0.3116,0.3116,0.01545,0.0309,1,1,4,,,yes,no
1,1.4,log,gap,before,1,2,1,1,1,2,0,0.0304,0.5592,NA,8,49,NA,0,0.0304,0.0304,0.2796,0.5592,NA,NA,2,2,1,,,,
1,1.6,log,gap,before,1,2,0,1,1,2,1,0.015,0.3809,0.0177,3,61,6,0,0.015,0.015,0.19045,0.3809,0.0177,0.0177,2,2,1,"this might have had two trcy plants, but one is possibly missing (based on name of sample, which is 1_6 TRCY 2)",,,
1,1.8,log,gap,after,1,1,0,0,0,0,3,NA,NA,0.2261,NA,NA,65,0,NA,NA,NA,NA,0.075366667,0.2261,1,0,3,,,,
1,1.02,log,insitu_log,before,1,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,0,0,no samples? This applies to multiple.,,yes,yes
1,1.14,log,insitu_log,after,1,2,1,0,0,1,0,NA,0.1141,NA,NA,10,NA,1,NA,NA,0.1141,0.1141,NA,NA,2,1,0,,,yes,no
1,1.03,log,insitu_pvc,before,1,1,3,1,0,1,1,NA,0.0718,0.0124,NA,0,1,1,NA,NA,0.0718,0.0718,0.0124,0.0124,1,3,1,,,,
1,1.ten,log,insitu_pvc,after,1,0,2,1,1,2,1,0.1215,0.8936,0.0096,38,121,2,1,0.1215,0.1215,0.4468,0.8936,0.0096,0.0096,1,3,1,,,,
1,1.17,open,open,NA,1,0,0,3,1,0,0,0.0214,NA,NA,6,NA,NA,0,0.0214,0.0214,NA,NA,NA,NA,1,0,3,,,,
1,1.19,open,open,NA,1,1,0,0,0,2,0,NA,0.5661,NA,NA,83,NA,0,NA,NA,0.28305,0.5661,NA,NA,1,2,0,,,,
1,1.23,open,open,NA,1,2,0,0,1,0,0,0.0154,NA,NA,4,NA,NA,0,0.0154,0.0154,NA,NA,NA,NA,2,0,0,,,,
1,1.31,open,open,NA,1,0,0,1,0,1,0,NA,0.049,NA,NA,2,NA,0,NA,NA,0.049,0.049,NA,NA,0,1,1,,,,
1,1.22,open,open_with_log,before,1,1,3,2,1,1,1,0.0691,0.197,0.0096,19,22,2,1,0.0691,0.0691,0.197,0.197,0.0096,0.0096,1,3,2,,,,
1,1.28,open,open_with_log,after,1,1,1,0,2,0,0,0.096,NA,NA,47,NA,NA,1,0.048,0.096,NA,NA,NA,NA,2,1,0,,,,
1,1.21,open,open_with_pvc,before,1,1,1,2,2,1,2,0.1365,0.0546,0.0472,2,1,2,1,0.06825,0.1365,0.0546,0.0546,0.0236,0.0472,2,1,3,,,,
1,1.24,open,open_with_pvc,after,1,3,2,0,2,6,4,0.0466,3.5106,0.0381,11,300,8,1,0.0233,0.0466,0.5851,3.5106,0.009525,0.0381,4,7,4,,,,
2,2.01,log,gap,after,1,3,0,0,2,6,0,0.0558,0.4851,NA,23,96,NA,0,0.0279,0.0558,0.08085,0.4851,NA,NA,4,6,0,two samples of goro put together. goro seed biomass missing so to get total biomass I averaged all goro total biomass per individual from plants with 28 - 30 seeds (there was one 29-seeded goro). seed biomass missing so to get total biomass I averaged all goro total biomass per individual from plants with 28 - 30  seeds (there was one 29-seeded goro). . trcy seed biomass missing so to get total biomass I averaged total biomass of all trcy plants with 13 to 14 seeds,,,
2,2.12,log,gap,before,1,0,0,2,2,0,0,0.0704,NA,NA,17,NA,NA,0,0.0352,0.0704,NA,NA,NA,NA,2,0,2,,,yes,no
