"","block","transect","initial","current_plot_type","physical_barrier","name","value","log_wt"
"1","1","1.01","log","gap","0","wt_percapita_goro",0.04,-3.2188758248682
"2","1","1.01","log","gap","0","wt_percapita_tror",NA,NA
"3","1","1.01","log","gap","0","wt_percapita_trcy",NA,NA
"4","1","1.02","log","insitu_log","1","wt_percapita_goro",NA,NA
"5","1","1.02","log","insitu_log","1","wt_percapita_tror",NA,NA
"6","1","1.02","log","insitu_log","1","wt_percapita_trcy",NA,NA
"7","1","1.03","log","insitu_pvc","1","wt_percapita_goro",0.07,-2.65926003693278
"8","1","1.03","log","insitu_pvc","1","wt_percapita_tror",0.026666667,-3.62434092047637
"9","1","1.03","log","insitu_pvc","1","wt_percapita_trcy",0.023333333,-3.7578723398866
"10","1","1.14","log","insitu_log","1","wt_percapita_goro",NA,NA
"11","1","1.14","log","insitu_log","1","wt_percapita_tror",NA,NA
"12","1","1.14","log","insitu_log","1","wt_percapita_trcy",NA,NA
"13","1","1.17","open","open","0","wt_percapita_goro",NA,NA
"14","1","1.17","open","open","0","wt_percapita_tror",NA,NA
"15","1","1.17","open","open","0","wt_percapita_trcy",NA,NA
"16","1","1.19","open","open","0","wt_percapita_goro",0.205,-1.58474529984373
"17","1","1.19","open","open","0","wt_percapita_tror",NA,NA
"18","1","1.19","open","open","0","wt_percapita_trcy",NA,NA
"19","1","1.21","open","open_with_pvc","1","wt_percapita_goro",0.03,-3.50655789731998
"20","1","1.21","open","open_with_pvc","1","wt_percapita_tror",NA,NA
"21","1","1.21","open","open_with_pvc","1","wt_percapita_trcy",0.068,-2.68824757380603
"22","1","1.22","open","open_with_log","1","wt_percapita_goro",NA,NA
"23","1","1.22","open","open_with_log","1","wt_percapita_tror",0.013333333,-4.31748813853631
"24","1","1.22","open","open_with_log","1","wt_percapita_trcy",0.0175,-4.04555439805267
"25","1","1.23","open","open","0","wt_percapita_goro",0.245,-1.40649706843741
"26","1","1.23","open","open","0","wt_percapita_tror",NA,NA
"27","1","1.23","open","open","0","wt_percapita_trcy",0.065,-2.7333680090865
"28","1","1.24","open","open_with_pvc","1","wt_percapita_goro",NA,NA
"29","1","1.24","open","open_with_pvc","1","wt_percapita_tror",0.011428571,-4.47163883086357
"30","1","1.24","open","open_with_pvc","1","wt_percapita_trcy",NA,NA
"31","1","1.28","open","open_with_log","1","wt_percapita_goro",NA,NA
