"","block","plot","init","N","P","K","C","pH","CEC"
"1","1","16","log",6,4,199,1.56,5.2,3.92
"2","1","20","open",2.5,4,248,0.85,4.8,2.08
"3","2","16","log",4.5,4,175,1.63,4.5,2.77
"4","2","32","open",4,3,149,1.17,4.9,3.75
"5","3","15","log",6,4,146,1.11,5.3,2.79
"6","3","26","open",4.5,2,85,0.79,4.8,1.04
"7","4","14","log",2.5,4,164,1.31,4.9,2.97
"8","4","28","open",3,4,193,1.11,5.6,4.27
"9","5","1","log",4.5,3,159,1.02,5.2,3.4
"10","5","22","open",3.5,7,194,0.96,5.5,3.5
"11","6","12","log",6,4,172,1.55,4.9,3.62
"12","6","21","open",3.5,4,141,0.6,4.8,1.38
"13","7","15","log",6,3,91,0.89,5,1.92
"14","7","28","open",3.5,3,111,0.53,4.5,0.72
